topic,top_doc,titre_doc,source,date,couverture,most_rep_doc,topic_top_words
1,news·20191106·CSO·002,Prochain arrêt : Griffintown-Bernard-Landry?,ICI Radio-Canada - Grand Montréal (site web),2019-11-06T00:00:00Z,Régionale,message transmettre twitter madame plante écrire station griffintown bernard landry permettre reconnaître contribution monsieur landry développement cité_multimédia devenir symbole vision économique audacieux ancien_ministre québec cité_multimédia implanter mairesse ajouter transmettre idée désignation futur_gare rem caisse_dépôt_placement québec cdpq maître œuvre rem signaler cercle ami bernard landry favorable idée bernard landry ministre québec mars avril occuper poste ministériel sein gouvernement,ministre|gouvernement|transaction|hausse|rôle|donald|ex|situation
2,news·20120412·CYB·011,» Griffintown: ultime effort pour sauver le Horse Palace,La Presse (blogues) - Le Blogue de l'immobilier,2012-04-12T00:00:00Z,Provinciale,frénésie craindre surconstruction quartier limitrophe centre ville soulever inquiétude préservation élément patrimonial architectural symbole horse palace vendre promoteur mars organisme héritage écurie construire constituer lieu menacer métropole maire_arrondissement_sud ouest benoit dorais sauver horse palace rencontrer média heure proposer assurer préservation mise_valeur joyau patrimoine collectif pourparler cours promoteur groupe citoyen sauvegarder établissement solution concret proposer monsieur dorais,école|écurie|palace|enfant|horse|csdm|famille|garderie
3,news·20171105·MOW·010,Qui sont les nouveaux maires et conseillers à Montréal ?,Métro (Montréal) (site web),2017-11-05T00:00:00Z,Régionale,mairie denis coderre équipe coderre valérie plante projet jean fortier coalition gilbert thibodeau bernard gurberg indépendant fabrice ntompa ilunga indépendant philippe tessier indépendant tyler lemco indépendant ahuntsic cartierville mairie chitilian harout équipe denis coderre thuillier émilie projet équipe valérie plante  conseiller_ville_district_électoral sault au récollet giancaspro giovanna coalition montréal  normand jérôme projet équipe valérie plante  pagé lorraine équipe denis coderre montréal  conseiller_ville_district_électoral saint sulpice parizeau hadrien équipe denis coderre montréal  sfeir ramzi projet équipe valérie plante  conseiller_ville_district_électoral ahuntsic goulet nathalie projet équipe valérie plante lachapelle pierre coalition montréal  melançon raphaël équipe denis coderre montréal  conseiller_ville_district_électoral bordeaux cartierville giannou effie équipe denis coderre montréal  karabajak shant coalition montréal  nassr fadia projet équipe valérie plante  anjou mairie mancini angela équipe denis coderre montréal  miranda luis équipe anjou  tondreau rémy projet équipe valérie plante  conseiller_ville_arrondissement anjou gagné michèle équipe denis coderre hénault andrée équipe anjou  mailhot robert projet équipe valérie plante  conseiller_arrondissement_district_électoral ouest beaudry gilles indépendant  cambria stephanie projet équipe valérie plante gauthier rené équipe denis coderre montréal  shand lynne équipe anjou  conseiller_arrondissement_district_électoral ghalem nadia indépendant  leblanc richard équipe anjou  plourde sylvain projet équipe valérie plante  robert mario équipe denis coderre montréal  conseiller_arrondissement_district_électoral centre martino julie projet équipe valérie plante  di genova zammit michelle équipe denis coderre montréal  marsolais kristine équipe anjou  côte des neiges notre dame de grâce mairie copeman russell équipe denis coderre montréal  ghavitian zaki coalition montréal  montgomery sue projet équipe valérie plante conseiller_ville_district_électoral darlington carpenter graham projet équipe valérie plante  hamon erik coalition perez lionel équipe denis coderre montréal  conseiller_ville_district_électoral côte des neiges assor raphaël coalition montréal  callender tiffany équipe denis coderre montréal  chin maureen vrai changement montréal  popeanu magda projet équipe valérie plante  conseiller_ville_district_électoral snowdon cabugao salvador b  équipe denis coderre montréal  grecu irina maria projet équipe valérie plante  rotrand marvin coalition montréal  conseiller_ville_district_électoral notre dame de grâce ethier elaine équipe denis coderre montréal  mcqueen peter projet équipe valérie plante  orchard caroline coalition montréal  conseiller_ville_district_électoral loyola arseneault christian projet équipe valérie plante  clarke keeton coalition montréal  retta gabriel équipe denis coderre montréal  santillan aguirre angeluz valery indépendant searle jeremy indépendant  trani gianpaolo paolo indépendant  lachine mairie blanchet bernard vrai changement montréal  dauphin claude équipe dauphin lachine ménard catherine équipe denis coderre montréal  vodanovic maja projet équipe valérie plante  conseiller_ville_arrondissement lachine cloutier jean françois équipe denis coderre montréal  ramsay julie équipe dauphin lachine rouleau micheline projet équipe valérie plante  verge elizabeth vrai changement montréal  conseiller_arrondissement_district_électoral canal haines johanne équipe dauphin lachine hétu marc vrai changement lelièvre anne marie équipe denis coderre provost julie pascale projet équipe valérie plante  conseiller_arrondissement_district_électoral j émery provost boukala younes projet équipe valérie plante  lama mehdi équipe denis coderre lejeune christian vrai changement montréal  racicot daniel équipe dauphin lachine conseiller_arrondissement_district_électoral fort rolland flannery michèle projet équipe valérie plante  poitras stéphanie vrai changement montréal  rossi dominic équipe dauphin lachine simonyik kymberley équipe denis coderre lasalle mairie barbe manon équipe barbe team  landry kathy projet équipe valérie plante  vallée monique équipe denis coderre montréal  conseiller_ville_district_électoral sault saint louis dafniotis loren projet équipe valérie plante  deschamps richard équipe barbe team  moussienza lumière équipe denis coderre montréal  conseiller_arrondissement_district_électoral sault saint louis siège aumont blanchette josée équipe denis coderre montréal  lauzon alex projet équipe valérie plante palestini laura équipe barbe team  conseiller_arrondissement_district_électoral sault saint louis siège blanchet nancy équipe barbe team  gendron roxanne projet équipe valérie plante  imam balkis équipe denis coderre montréal  conseiller_ville_district_électoral cecil  newman asaro pino équipe denis coderre montréal  caruso carolina indépendant el babarti jimenez yasmina projet équipe valérie plante  zarac lise équipe barbe team  conseiller_arrondissement_district_électoral cecil  newman siège declos serge équipe barbe team  erindi anila projet équipe valérie plante  singh devinderpal équipe denis coderre montréal  conseiller_arrondissement_district_électoral cecil  newman siège barry mody maka indépendant  laperrière steven équipe denis coderre montréal  okou romarick projet équipe valérie plante troilo josée équipe barbe team  ile bizard sainte genevieve mairie côté stéphane vrai changement montréal  dugas eric équipe denis coderre montréal  marinacci normand projet équipe valérie plante conseiller_arrondissement_district_électoral pierre foretier baroudi ghassan indépendant diane équipe denis coderre pageau frédérick vrai changement sarault yves projet équipe valérie plante conseiller_arrondissement_district_électoral denis benjamin viger larocque christian projet équipe valérie plante ritchot stéphane vrai changement wilson alain équipe denis coderre conseiller_arrondissement_district_électoral jacques bizard bélanger richard équipe denis coderre dubé marie ève vrai changement samoszewski robert projet équipe valérie plante conseiller_arrondissement_district_électoral sainte geneviève labrosse geneviève projet équipe valérie plante marceau suzanne équipe denis coderre shaban sherry vrai changement mercier hochelaga maisonneuve mairie lessard blais pierre projet équipe valérie plante ménard réal équipe denis coderre conseiller_ville_district_électoral tétreaultville celzi richard équipe denis coderre miron suzie projet équipe valérie plante conseiller_ville_district_électoral maisonneuve longue pointe chartrand simon robert équipe denis coderre lavigne lalonde laurence projet équipe valérie plante conseiller_ville_district_électoral hochelaga beaupré jean françois équipe denis coderre caldwell éric alan projet équipe valérie plante conseiller_ville_district_électoral louis riel boivin roy karine équipe denis coderre meza isi projet équipe valérie plante neves joao coalition montréal nord mairie black christine équipe denis coderre holness balarama projet équipe valérie plante conseiller_ville_district_électoral marie clarac léonard mathieu projet équipe valérie plante michel marie carmel indépendant sare abdelhaq équipe denis coderre conseiller_arrondissement_district_électoral marie clarac bernier henri paul indépendant bissonnette elaine indépendant marcelin anastasia projet équipe valérie plante poirier jean marc équipe denis coderre conseiller_ville_district_électoral ovide clermont coderre denis rossi chantal colistier équipe denis coderre merazil sacha wilky projet équipe valérie plante conseiller_arrondissement_district_électoral ovide clermont belinga renée chantal équipe denis coderre casimir stéphanie projet équipe valérie plante outremont mairie lussier alexandre indépendant moroz ronald coalition potvin marie équipe denis coderre tomlinson philipe projet équipe valérie plante conseiller_arrondissement_district_électoral claude ryan murray jeremy équipe denis coderre pollak mindy projet équipe valérie plante raymond chantal indépendant conseiller_arrondissement_district_électoral joseph beaubien forget céline indépendant habib william équipe denis coderre patreau valérie projet équipe valérie plante conseiller_arrondissement_district_électoral robert bourassa corbeil jean marc équipe denis coderre desbaillets david projet équipe valérie plante lecoq frédéric indépendant conseiller_arrondissement_district_électoral jeanne sauvé gélinas élie christine équipe denis coderre gremaud jacqueline indépendant magini fanny projet équipe valérie plante mitchell adrien coalition pierrefonds roxboro mairie beis dimitrios jim équipe denis coderre dupont hélène projet équipe valérie plante mcintyre justine vrai changement conseiller_ville_district_électoral bois de liesse langevin benoit équipe denis coderre martin andréanne projet équipe valérie plante mccarty eric vrai changement conseiller_arrondissement_district_électoral bois de liesse audoin alexis projet équipe valérie plante leroux louise équipe denis coderre trottier roger vrai changement conseiller_ville_district_électoral cap saint jacques clément talbot catherine équipe denis coderre paoli manuela vrai changement labelle michael indépendant stitt ross projet équipe valérie plante conseiller_arrondissement_district_électoral cap saint jacques gignac yves équipe denis coderre papadogiannis peter projet équipe valérie plante shafiei naghmeh vrai changement plateau mont_royal mairie ferrandez luc projet équipe valérie plante macklovitch zach équipe denis coderre conseiller_ville_district_électoral mile end almeida côté iris équipe denis coderre ryan richard projet équipe valérie plante sustam halil plateau frontière conseiller_arrondissement_district_électoral mile end plourde marie projet équipe valérie plante prophet jean david équipe denis coderre conseiller_ville_district_électoral lorimier gauthier linda équipe denis coderre giguère marianne projet équipe valérie plante conseiller_arrondissement_district_électoral lorimier blanco josefina projet équipe valérie plante szaraz jean pierre équipe denis coderre conseiller_ville_district_électoral jeanne mance desjardins marc antoine équipe denis coderre norris alex projet équipe valérie plante rankin deborah coalition whyte joash plateau frontière conseiller_arrondissement_district_électoral jeanne mance dias yvan plateau frontière loureiro daniel équipe denis coderre regan terrence coalition vilain maeva projet équipe valérie plante rivière des prairies pointe aux trembles mairie mercuri pietro projet équipe valérie plante rouleau chantal équipe denis coderre conseiller_ville_district_électoral pointe aux prairies colin daphney projet équipe valérie plante guay richard équipe denis coderre conseiller_arrondissement_district_électoral pointe aux prairies christensen lisa projet équipe valérie plante guedes manuel équipe denis coderre lanoue alain indépendant conseiller_ville_district_électoral pointe aux trembles décarie suzanne équipe denis coderre leboeuf mcgregor tomy richard projet équipe valérie plante conseiller_arrondissement_district_électoral pointe aux trembles déziel gilles équipe denis coderre gelin vladimir projet équipe valérie plante conseiller_ville_district_électoral rivière des prairies perlera hector projet équipe valérie plante rapanà giovanni équipe denis coderre conseiller_arrondissement_district_électoral rivière des prairies désiré jean eddie jr projet équipe valérie plante pierre antoine nathalie équipe denis coderre rosemont  petite patrie mairie croteau françois william projet équipe valérie plante gadoury marc andré équipe denis coderre conseiller_ville_district_électoral saint édouard hallak jack   équipe denis coderre limoges françois projet équipe valérie plante conseiller_ville_district_électoral étienne desmarteau mckay scott équipe denis coderre watt stéphanie projet équipe valérie plante conseiller_ville_district_électoral vieux rosemont gosselin christine projet équipe valérie plante laagad mariam équipe denis coderre conseiller_ville_district_électoral marie victorin fortin nathalie équipe denis coderre pauzé jocelyn projet équipe valérie plante saint laurent mairie chénier jones nora projet équipe valérie plante desousa alan équipe denis coderre montréalconseiller_ville_district_électoral côte de liesse farah salman projet équipe valérie plante miele francesco équipe denis coderre conseiller_arrondissement_district_électoral côte de liesse bonenfant mario indépendant cohen jacques équipe denis coderre rivera julio projet équipe valérie plante conseiller_ville_district_électoral norman mclaren lamontagne julie projet équipe valérie plante salem aref équipe denis coderre conseiller_arrondissement_district_électoral norman mclaren biron michèle d  équipe denis coderre bitar elias vrai changement gondal jamil ahmad hakim rafik projet équipe valérie plante saint léonardmairie bissonnet michel équipe denis coderre caron julie projet équipe valérie plante di paola tommaso indépendantconseiller_ville_district_électoral saint léonard est el korbi arij abrar projet équipe valérie plante lattanzio patricia   équipe denis coderre montréalconseiller_arrondissement_district_électoral saint léonard est capuano giovanni projet équipe valérie plante tremblay lili anne équipe denis coderre conseiller_ville_district_électoral saint léonard ouest frej oualid projet équipe valérie plante perri dominic équipe denis coderre conseiller_arrondissement_district_électoral saint léonard ouest aldonzar indépendant battista mario équipe denis coderre druelle anick projet équipe valérie plante sud ouestmairie dorais benoit projet équipe valérie plante mérineau denise équipe denis coderre montréalconseiller_ville_district_électoral saint henri est petite bourgogne pointe saint charles griffintown doyle daniel équipe denis coderre sauvé craig projet équipe valérie plante tanoli taimur coalition tsukalas thomas indépendantconseiller_arrondissement_district_électoral saint henri est petite bourgogne pointe saint charles griffintown picher nicole équipe denis coderre thiébaut sophie projet équipe valérie plante conseiller_ville_district_électoral saint paul émard saint henri ouest audette marc antoine équipe denis coderre sigouin anne marie projet équipe valérie plante conseiller_arrondissement_district_électoral saint paul émard saint henri ouest ouamabia claudia olga équipe denis coderre vaillancourt alain projet équipe valérie plante verdun mairie chappaz michèle projet équipe valérie plante parenteau jean françois équipe denis coderre conseiller_ville_district_électoral champlain île des soeurs parent marie josée équipe denis coderre pedro nathalie projet équipe valérie plante conseiller_arrondissement_district_électoral champlain île des soeurs siège boivin jean pierre projet équipe valérie plante heureux pierre équipe denis coderre conseiller_arrondissement_district_électoral champlain île des soeurs siège bégin gabriel projet équipe valérie plante tremblay véronique équipe denis coderre conseiller_ville_district_électoral desmarchais crawford brunet marie eve équipe denis coderre downey sterling projet équipe valérie plante conseiller_arrondissement_district_électoral desmarchais crawford siège gagnon luc projet équipe valérie plante guy ann équipe denis coderre conseiller_arrondissement_district_électoral desmarchais crawford siège arial tracey équipe denis coderre mauger marie andrée projet équipe valérie plante ville  marie maire désigner maire_arrondissement_ville marie conseiller_ville_district_électoral peter mcgill fortier jean symon k  john colistier coalition kilani liyousa indépendant shanahan steve vrai changement sharifian jabiz projet équipe valérie plante wong cathy équipe denis coderre conseiller_ville_district_électoral saint jacques beaudry robert projet équipe valérie plante bergeron richard équipe denis coderre gaudreau daniel vrai changement conseiller_ville_district_électoral sainte marie mainville pierre équipe denis coderre plante valérie mauzerolle sophie colistière projet équipe valérie plante urbanowicz artur adam vrai changement villeray saint michel parc extension mairie fumagalli giuliana projet équipe valérie plante samson anie équipe denis coderre montréalconseiller_ville_district_électoral saint michel alrabi rana projet équipe valérie plante benjamin frantz équipe denis coderre conseiller_ville_district_électoral françois perrault duchesne érika équipe denis coderre ouellet sylvain projet équipe valérie plante conseiller_ville_district_électoral villeray filato rosannie projet équipe valérie plante lefebvre elsie équipe denis coderre sounan charles indépendant conseiller_ville_district_électoral parc extension bentabbel rafik projet équipe valérie plante deros mary équipe denis coderre yousuf mohammad tanbir coalition,équipe|denis|coderre|plante|valérie|poste|hydro|festival
4,news·20100416·MO·0006,Le projet Griffintown : pas avant 20 ans,Métro (Montréal),2010-04-16T00:00:00Z,Régionale,maire_sud ouest benoît dorais entendre réclamer minimum logement_social phase venir consultation phase_projet soumettre consultation_public respecter plan_urbanisme ppu population pouvoir pencher phase_subséquent entremise consultation_public nouveau mouture plan_urbanisme devoir annoncer mois_juin nouveau plan_urbanisme devoir adopter futur phas devoir conformer,élu|ppu|ocpm|consultation|citoyen|urbanisme|matière|assurer
5,news·20160430·LS·0148,Miami la créative,Le Soleil,2016-04-30T00:00:00Z,Provinciale,art deco welcome center mdlp org hôtel hall collins avenue miami beach yardbird avenue lenox miami beach hôtel sortir ordinaire livre poésie roman chambre concert gratuit théâtre orner œuvre_artiste contemporain poème déposer oreiller soir hôtel betsy prendre sérieux vocation hôtel artistique fils poète propriétaire jonathan plutzik décider aménager chambre_hôtel accueillir écrivain année côté architecture hôtel betsy oiseau rare paysage south beach édifice géorgien porter nom créateur drapeau américain betsy ross sentir abri turbulence spring break ocean drive vue_imprenable océan betsy ocean drive miami beach musée jorge m  pérez photo coucher soleil accumuler fil artiste penelope umbrico récupérer flickr immense fresque écrin majestueux musée_art jorge m  pérer œuvre devenir véritable ode miami musée ouvrir joyau ville concevoir célébrissime architecte herzog meuron musée pérez parc redonner vie baie miami riche culture hispanique ville donner enchevêtrement bois végétation venir art meilleur abordable brunch ville jorge m  pérez art museum biscayne boulevard miami pamm org wynwood wynwood miami ancien_quartier tomber oubli couvert entrepôt abandon quartier tomber œil promoteur décider changer dessein arrêter comparaison amoureux art tony goldman décider offrir mur entrepôt wynwood artiste coin monde quartier vue miami venir samedi visiter galerie_art admirer centaine fresque heure déambulation boutique quartier arrêt terrasse pizzeria joey restaurant pignon wynwood nw 2ndre avenue miami villa vizcaya   art_contemporain villa vizcaya antidote impeccable villa bâtir riche_industriel style renaissance italien camper lagon baie miami résidence musée jardin valoir détour difficile trouver lieu romantique miami pique nique marche témoigner couple jeune marié déambuler lieu photographe éclairagiste immortaliser union trouver café acheter victuaille rafraîchissement musée jardin vizcaya south miami avenue miami vizcaya org calle ocho little haiti quartier miami façonner grand communauté immigrant ville lieu désigner amateur musique quartier cubain arrêt célèbre 8e bain musique cuisine cubain little haiti complexe culturel abriter vendredi mois haiti grand soirée gratuit musique danse inspirer perle antilles plaisir sueur garanti festival légion miami multiple célèbre carnaval miami grand fête latin étendre semaine mars little haiti cultural center terrace miami hoy como ayer sw 8e miami,manger|miami|fantôme|décor|fromage|dessert|poulet|boutique
6,web·20230707·OPW·1066869_7748375649_11991402,REM: des mesures antibruit seront finalement ajoutées,Le Journal de Montréal (site web réf.) - Le Journal de Montréal,2023-07-07T00:00:00Z,Régionale,mesure antibruit ajouter camille dauphinais pelletier juillet mise_jour juillet 16h55 partager joël lemay agence qmi camille dauphinais pelletier juillet mise_jour juillet partager correctif apporter rem bruyant endroit dénoncent mois résident_quartier bordure mentionner presse pdg cdpq infra développer nouveau_mode_transport_commun mur_antibruit pièce absorber vibration ajouter travail meulage réaliser rail mentionner entrevue jean marc arbaud rappeler avril_dernier résident mentionner heure déranger bruit_train entend intérieur logement résident pointe saint charles île des soeurs sortir média propos similaire supposer coin beau qualité_vie_canal aller venir pique niquer bruit penser train créer beau_vie_canal activité_air train bousiller résident craindre quitter quartier vovoir entendez rem circuler griffintown  cdpq train nouveau campagne mesure sonore lumière mesure récolter changement apporter branche réseau express_métropolitain rem relier centre ville brossard rive sud devoir entrer service mi août populaire transport chaleur arrêter train montréal new york camille dauphinais pelletier transport rem mesure antibruire ajouter camille dauphinais pelletier date mise_service rem dévoiler tva nouvelles juill heure_minute additional text mesure antibruire ajouter chaleur arrêter train montréal new york date mise_service rem dévoiler,rem|station|bruit|cdpq|infra|déranger|dauphinais|camille
7,news·20131005·LAA·162,"Petits condos, grand confort Peut-on vivre confortablement dans 285, 300 ou 350 pi2? Des promoteurs immobiliers croient que oui. Et pour y parvenir, certains accordent beaucoup d'attention à la ...",La Presse+,2013-10-05T00:00:00Z,Provinciale,porte coulissant espace rangement astuce employer rendre petit_condo confortable équipe designersgauvreau design mettre concept intituler genius offrir option inspirer york répondre besoin jour_nuit expliquer valérie gauvreau associée entreprise condo certifier genius meuble transformer fonction cas grand lit_escamotable camoufler bibliothèque rotatif tourner révéler ematel couverture table goliath pouvoir servir table travail table table nombre panneau utiliser pouf cubista transformer bancs solide structure métal solution futer partie gamme concept ressource importer italie vendre meubles fraser téléviseur pouvoir servir écran ordinateur installer tablette rétractable porte côté station charger téléphone intelligent tablette électronique apparaître besoin condo_pi2 certification genius coûter taxe électroménager inclure facture monter taxe électroménager inclus système genius penser plaire_jeune clientèle travailler étudier environs indiquer marco fontaine clientèle mature désirer pied à terre copropriétaire accès espace_commun prévoir devimco pouvoir suite étendre concept genius condo grand commencer superficie_pi2 agir beau défi préciser m  fontaine pourroir exporter concept type condos projet maximiser espace_promoteur intégrer mobilier appartement tirer profit espace cas gallery lofts canal appartement superficie_pi2 armoire penderie tiroir tablette prévoir chambre principal table déplaçable prolongement îlot inclure prix petit promoteur prével pousser audace offrir microcondo_pi2 mars_dernier lancement 21er_arrondissement bordure vieux montréal petit_condo travailler mois maximiser espace expliquer laurence vincent vice président vent marketing obtenir meilleur résultat incorporer mobilier lit_escamotable rangement électroménager gamme format réduit considérer pied à terre constituer infime partie appartement offrir microcondo soulever intérêt superficie varier pi2 venir mettre vente prix taxe électroménager lit_escamotable intégré inclus gallerysurlecanal com,yoo|locataire|starck|pi2|payer|locatif|espace_commun|loyer
8,news·20100416·OP·100416127371750,Seriez-vous intéressé à habiter dans le nouveau Griffintown?,Le Journal de Montréal,2010-04-16T00:00:00Z,Provinciale, maryline bergeron projet sembler intéressant répondre attente trouver situer école activité marc antoine bourdage croire ir aménager quartier_projet sembler intéressant travail intérêt satisfait quartier voir marie noëlle desbois venir installer intérêt déménager projet sembler intéressant concrétiser aller aller visiter habitation proposer matthieu ascione,henri|pointe|charles|émard|bourgogne|arrondissement|habitant|sauvé
9,news·20110825·MO·0007,Transports,Métro (Montréal),2011-08-25T00:00:00Z,Régionale,pelletée_terre travail îlot phase_projet donner nouveau investissement majeur projet_district griffin présenter leed centre corporatif saint laurent parc industriel canada composer bâtiment obtenir viser certification leed inaugurer,tramway|alt|stade|relier|bronfman|germain|million|firme
10,news·20071123·MO·0001,Ambiteux projet immobilier au sud du centre-ville,Métro (Montréal),2007-11-23T00:00:00Z,Régionale,projet devoir intégrer canal lachine trame_urbain préciser maire gérald tremblay travail devoir commencer étude consultation_public_quartier_industriel ralentissement économique connaître début_siècle fermeture_canal lachine quartier déclin projet payant m  taxe_foncier engranger projet m  emploi créer construction permanents autre texte page,cheval|cocher|calèche|chien|animal|commission|production|carré
